제목,kyobo_순위,kyobo_저자,kyobo_출판사,kyobo_발매일,kyobo_가격,kyobo_평점,kyobo_장르,상명대학교_학술정보관_장르
오비디우스의 사랑의 묘약,56,오비디우스(Ovid),디즈비즈북스,2022.12.13,"9,900",10,시/에세이,시/에세이
오비디우스의 사랑의 예술,57,오비디우스(Ovid),디즈비즈북스,2022.12.13,"9,900",0,시/에세이,시/에세이
인생의 역사,58,신형철,난다,2022.12.05,"11,340",10,시/에세이,시/에세이
내 걱정 어디서 왔을까,59,성진,마음의숲,2022.12.12 (종이책 출간 2022.09.29),"10,800",10,시/에세이,시/에세이
그리움이 나를 밀고 간다,60,헤르만 헤세,문예춘추사,2022.12.20 (종이책 출간 2022.12.01),"11,700",0,시/에세이,시/에세이
"이건 다이어트 책입니다, 하지만",61,정영미(지중공),잇콘,2022.09.17 (종이책 출간 2022.09.17),"9,000",0,시/에세이,시/에세이
카메라를 끄고 씁니다,62,양영희,마음산책,2022.11.10,"9,090",0,시/에세이,시/에세이
아주 오랜만에 행복하다는 느낌,63,백수린,창비,2022.10.10,"10,080",10,시/에세이,시/에세이
한 개의 기쁨이 천 개의 슬픔을 이긴다: 삶과 태도에 관하여,64,조우성,서삼독,2022.10.20 (종이책 출간 2022.07.07),"9,000",9.9,시/에세이,시/에세이
사랑은 그렇게 하는 것이 아니다,65,김달,빅피시,2022.10.19 (종이책 출간 2022.10.19),"10,395",9.7,시/에세이,시/에세이
계절의 위로,66,서은,지식인하우스,2022.10.19 (종이책 출간 2022.08.17),"10,800",9.2,시/에세이,시/에세이
가부장제의 경로를 이탈하였습니다,67,아넵,위즈덤하우스,2022.10.04 (종이책 출간 2022.09.14),"9,450",10,시/에세이,시/에세이
"슬픔은 원샷, 매일이 맑음",68,김한솔,위즈덤하우스,2022.10.04 (종이책 출간 2022.09.13),"9,450",10,시/에세이,시/에세이
뉴욕의 상페,69,장자크 상페,미메시스,2020.10.16 (종이책 출간 2020.10.20),"15,300",9.4,시/에세이,시/에세이
해협의 로맨티시즘(임화 좋은 시 모음50),70,임화,하북스,2020.08.11,450,0,시/에세이,시/에세이
이효석의 문장,71,이효석,홍재,2020.05.22,"13,500",0,시/에세이,시/에세이
세계인이 가장 사랑한 사랑시,72,쉴리 프뤼돔,북아띠,2020.01.02,900,10,시/에세이,시/에세이
월든(한글판),73,헨리 데이비드 소로,더클래식,2013.10.29,"1,341",10,시/에세이,시/에세이
박상천 시선집,74,박상천,한국문학도서관,2008.08.07,"3,600",0,시/에세이,시/에세이
담쟁이,75,도종환,시인생각,2014.09.24 (종이책 출간 2012.08.10),"3,240",9.8,시/에세이,시/에세이
가문비나무의 노래(리커버 한정판),76,마틴 슐레스케,니케북스,2014.11.13 (종이책 출간 2014.07.10),"8,100",10,시/에세이,시/에세이
늦지 않았어 지금 시작해,77,노경원,시드페이퍼,2012.04.02 (종이책 출간 2012.02.15),"8,190",9.9,시/에세이,시/에세이
기도의 힘,78,엄상익,바이블리더스,2020.11.23 (종이책 출간 2020.09.15),"6,300",0,시/에세이,시/에세이
MOON WALK(문워크),79,마이클 잭슨,더클래식,2010.07.21 (종이책 출간 2010.06.23),"9,000",7.5,시/에세이,시/에세이
스탕달 연애론 에세이 LOVE,80,이동진,해누리,2006.10.24 (종이책 출간 2004.09.01),"4,050",10,시/에세이,시/에세이
있지도 않은 문장은 아름답고,81,이제니,현대문학,2021.12.10 (종이책 출간 2019.03.25),"5,040",9.9,시/에세이,시/에세이
어느 무신론자의 기도,82,이어령,열림원,2021.10.29 (종이책 출간 2016.01.25),"6,930",8.2,시/에세이,시/에세이
삶에 지치고 사랑도 무너져갈 때,83,조성용(흔글),경향BP,2021.04.27 (종이책 출간 2021.05.05),"9,360",9.9,시/에세이,시/에세이
함부로 설레는 마음,84,이정현,시드앤피드,2018.08.08 (종이책 출간 2018.07.02),"8,694",9.6,시/에세이,시/에세이
충청도의 힘,85,남덕현,양철북,2014.01.20 (종이책 출간 2013.07.19),"7,560",9.4,시/에세이,시/에세이
노가다 칸타빌레,86,송주홍,시대의창,2021.06.07 (종이책 출간 2021.03.15),"8,100",9.8,시/에세이,시/에세이
인생 수업,87,엘리자베스 퀴블러 로스,이레,2017.04.25 (종이책 출간 2014.05.20),"8,694",8.7,시/에세이,시/에세이
모든 것이 산산이 무너질때,88,페마 쵸드론,한문화,2019.06.05 (종이책 출간 2017.11.25),"8,820",8.8,시/에세이,시/에세이
불안,89,알랭 드 보통,은행나무,2013.09.30 (종이책 출간 2012.01.04),"9,450",9.4,시/에세이,시/에세이
H마트에서 울다,90,미셸 자우너,문학동네,2022.02.23 (종이책 출간 2022.02.28),"10,080",9.8,시/에세이,시/에세이
순례자,91,파울로 코엘료,문학동네,2015.08.25 (종이책 출간 2011.10.05),"7,560",9.3,시/에세이,시/에세이
여행 혹은 여행처럼,92,정혜윤,난다,2017.10.24 (종이책 출간 2015.06.05),"7,560",9.4,시/에세이,시/에세이
살아온 기적 살아갈 기적,93,장영희,샘터(샘터사),2011.04.06 (종이책 출간 2009.05.12),"6,930",9.5,시/에세이,시/에세이
조국은 하나다,94,김남주,실천문학사,2006.04.19 (종이책 출간 1987.11.01),"2,340",8.8,시/에세이,시/에세이
나의 칼 나의 피,95,김남주,실천문학사,2008.01.09 (종이책 출간 1988.08.01),"2,700",6.3,시/에세이,시/에세이
상상력에게,96,에밀리 브론테,민음사,2020.04.23 (종이책 출간 2020.03.08),"6,930",9.8,시/에세이,시/에세이
반성,97,김영승,민음사,2012.06.29 (종이책 출간 2011.04.05),"4,410",6.9,시/에세이,시/에세이
너무 늦기 전에 들어야 할 카르마 강의,98,최준식,김영사,2021.07.01 (종이책 출간 2021.06.30),"9,450",9,시/에세이,시/에세이
우리가 함께 장마를 볼 수도 있겠습니다,99,박준,문학과지성사,2019.06.02 (종이책 출간 2018.12.13),"5,670",9.5,시/에세이,시/에세이
가능세계,100,백은선,문학과지성사,2016.12.30 (종이책 출간 2016.03.14),"5,040",9.3,시/에세이,시/에세이
당신도 느리게 나이 들 수 있습니다,1,정희원,더퀘스트,2023.01.19 (종이책 출간 2023.01.17),"12,816",9.9,인문,인문
"김연준의 1Day 포인트 클래스 : 소설, 에세이 쉽게 쓰기",2,김연준,아이이북,2023.02.16 (종이책 출간 2023.02.22),"2,700",10,인문,인문
지적 대화를 위한 넓고 얕은 지식 2,3,채사장,웨일북(whalebooks),2020.02.21 (종이책 출간 2020.02.05),"10,080",9.6,인문,인문
문장강화:아버지가 읽은,4,이태준,깊은샘,2007.10.12 (종이책 출간 1997.12.20),"6,750",10,인문,인문
마흔에 읽는 니체,5,장재형,유노북스,2022.09.06 (종이책 출간 2022.09.01),"11,700",9.6,인문,인문
욕망의 진화,6,데이비드 버스,사이언스북스,2019.11.06 (종이책 출간 2013.12.26),"15,840",9.2,인문,인문
만일 내가 인생을 다시 산다면(10만 부 기념 스페셜 에디션),7,김혜남,메이븐,2022.11.11 (종이책 출간 2022.11.11),"10,800",9.7,인문,인문
미움받을 용기(200만 부 기념 스페셜 에디션),8,기시미 이치로,인플루엔셜,2023.01.11 (종이책 출간 2022.12.28),"11,430",9.6,인문,인문
인생의 모든 문제에는 답이 있다,9,웨인 다이어,불광출판사,2022.03.15 (종이책 출간 2022.02.15),"11,340",9.8,인문,인문
인생을 숙제처럼 살지 않기로 했다,10,웃따,다산북스,2023.02.01 (종이책 출간 2023.02.01),"10,710",10,인문,인문
클루지,11,개리 마커스,갤리온,2019.07.23 (종이책 출간 2008.11.24),"8,694",9.2,인문,인문
사람을 얻는 지혜,12,발타자르 그라시안,현대지성,2022.10.27 (종이책 출간 2022.10.28),"6,210",9.8,인문,인문
어른이라는 혼란,13,박경숙,와이즈베리,2023.02.07 (종이책 출간 2023.01.15),"10,710",10,인문,인문
씽킹 101,14,안우경,흐름출판,2023.01.19 (종이책 출간 2023.01.05),"15,120",9.7,인문,인문
어른의 중력,15,사티아 도일 바이오크,윌북,2022.12.20 (종이책 출간 2022.12.12),"10,710",9.5,인문,인문
