제목,저자,출판사,발매일,가격,평점,장르
나를 치유하면 세상이 치유된다,데보라 킹,김영사,2022.10.17 (종이책 출간 2022.10.17),"9,900원",9.8,IT/프로그래밍
Real MongoDB,이성욱,위키북스,2022.11.15 (종이책 출간 2018.01.30),"30,600원",9.7,IT/프로그래밍
모던 자바스크립트로 배우는 리액트 입문,자케(오카다 다쿠미),한빛미디어,2022.11.07 (종이책 출간 2022.11.07),"16,560원",9,IT/프로그래밍
2023 유선배 SQL개발자(SQLD) 과외노트,정미나,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"14,490원",10,IT/프로그래밍
파이썬을 이용한 통계적 머신러닝,박유성,자유아카데미,2022.10.24,"24,480원",0,IT/프로그래밍
2023 hoa 문제은행 방식에 최적화된 전산회계운용사 3급 필기,고민석,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"10,080원",10,IT/프로그래밍
진짜 쓰는 실무 엑셀,오빠두(전진권),제이펍,2022.09.27 (종이책 출간 2022.02.15),"13,230원",9.4,IT/프로그래밍
"좋은 코드, 나쁜 코드",톰 롱,제이펍,2022.09.27 (종이책 출간 2022.05.26),"18,900원",10,IT/프로그래밍
실전 자바스크립트 디자인 패턴 개정판,향단코드,온노트,2022.07.28,"9,000원",0,IT/프로그래밍
PPT 이렇게 쉬웠어?,김예송,페스트북,2022.07.12,"10,800원",10,IT/프로그래밍
맥북은 처음이라,진승민,이페이지,2022.05.13,"3,600원",0,IT/프로그래밍
Siemens S7 300 Programming 완전정복,김학철,복두출판사,2022.04.28,"27,000원",10,IT/프로그래밍
실전 스프링 부트 REST API 개발 MyBatis + MySQL 개정판,향단코드,온노트,2021.04.06,"9,000원",10,IT/프로그래밍
실전 스프링 부트 REST API 개발 JPA + MySQL 개정판,향단코드,온노트,2021.03.31,"9,000원",0,IT/프로그래밍
모든 기록은 워크플로위(Workflowy)에서 시작된다,서용마,비센샤프트,2019.01.04,"8,100원",10,IT/프로그래밍
성공적인 게임 기획을 위한 제작실무서,조상현,계명대학교출판부,2020.04.01 (종이책 출간 2015.03.26),"12,600원",0,IT/프로그래밍
소프트웨어 프로젝트 관리,고석하,생능출판,2014.09.24 (종이책 출간 2014.02.28),"15,795원",10,IT/프로그래밍
자바스크립트는 왜 그 모양일까?,더글러스 크락포드,인사이트,2020.07.01 (종이책 출간 2020.05.25),"20,160원",10,IT/프로그래밍
의학적 증상 비주얼 가이드,디나 코프먼,시그마북스,2023.01.05 (종이책 출간 2023.01.05),"17,640원",0,건강/의학
천서 0.0001. 4,문화영,수선재,2012.06.12 (종이책 출간 2006.07.14),"4,500원",10,건강/의학
염증 해방,정세연,다산라이프,2022.11.10 (종이책 출간 2022.11.10),"11,340원",10,건강/의학
고통의 비밀,몬티 라이먼,상상스퀘어,2022.11.09 (종이책 출간 2022.11.09),"11,907원",9.7,건강/의학
식사가 잘못됐습니다 2 실천편,마키타 젠지,더난출판사,2021.02.02 (종이책 출간 2020.12.24),"9,450원",10,건강/의학
핏블리 헬스 스트렝스 전략집,핏블리(문석기),쇼크북스,2022.07.29 (종이책 출간 2022.04.18),"16,200원",6.7,건강/의학
정신건강간호학,도경진,JMK,2019.10.30 (종이책 출간 2019.03.15),"51,300원",0,건강/의학
열방약국 유방암 상담소,김훈하,리더북스,2022.06.15,"9,000원",10,건강/의학
백년 목,정선근,사이언스북스,2018.08.07 (종이책 출간 2017.11.30),"10,800원",9.7,건강/의학
림프 스트레칭,카토 마사토시,시사문화사,2019.05.20 (종이책 출간 2019.02.22),"8,100원",9.3,건강/의학
정신건강간호사를 간직하다,이현지,드림널스,2021.04.26 (종이책 출간 2021.03.29),"11,520원",10,건강/의학
비만코드,제이슨 펑,시그마북스,2018.10.22 (종이책 출간 2018.10.20),"10,080원",9.8,건강/의학
나는 질병없이 살기로 했다,하비 다이아몬드,사이몬북스,2017.04.24 (종이책 출간 2017.04.15),"7,200원",9.7,건강/의학
"신규간호사, 아무튼 출근!",박소진,포널스출판사,2021.12.23 (종이책 출간 2021.12.01),"14,400원",10,건강/의학
조금씩 천천히 자연식물식,이의철,니들북,2021.03.04 (종이책 출간 2021.02.22),"11,781원",10,건강/의학
월간임상내과 2023년 2월호,월간임상내과 출판의원회,임상내과,2023.02.08,"6,300원",0,건강/의학
운동의 정석 3탄 - 보행분석편,머스트무브,머스트무브,2021.12.27,"40,410원",0,건강/의학
대사효소와 슈퍼유산균이 건강을 지킨다,김윤선,모아북스,2012.08.29 (종이책 출간 2012.08.17),"2,700원",10,건강/의학
소금 오해를 풀면 건강이 보인다,윤태호,행복나무,2015.01.27 (종이책 출간 2014.04.15),"7,200원",9.7,건강/의학
아로마테라피 핸드북,오홍근,양문,2006.03.23 (종이책 출간 2002.07.26),"5,400원",9.3,건강/의학
뱃살이 쏙 빠지는 식사법,에베 코지,더난출판사,2020.06.29 (종이책 출간 2020.06.25),"8,820원",9.3,건강/의학
코골이 수면무호흡증,이우정,미다스북스,2021.01.25 (종이책 출간 2020.07.27),"9,000원",9.2,건강/의학
맛불리 다이어트 연구소,맛불리,비사이드,2019.08.13 (종이책 출간 2019.07.26),"9,450원",8.8,건강/의학
운동 말고 움직임 리셋,홍정기,EBS BOOKS,2022.08.17 (종이책 출간 2022.01.05),"11,200원",9.7,건강/의학
관교의치기공학실습,김정숙 외,학문사,2009.03.04 (종이책 출간 2002.03.15),"8,100원",0,건강/의학
프셉마음: 신경과 편,신사랑,드림널스,2022.07.14 (종이책 출간 2022.05.06),"20,880원",10,건강/의학
혼자서도 얼굴이 예뻐지는 페이스 스트레칭,정파카,북스고,2021.01.11 (종이책 출간 2021.01.11),"8,100원",9.6,건강/의학
그 여자의 섹스,이안 커너,S플레이북,2014.10.08 (종이책 출간 2014.10.13),"4,500원",7.5,건강/의학
근육이 연금보다 강하다,김헌경,비타북스,2019.07.30 (종이책 출간 2019.06.05),"9,270원",9.5,건강/의학
고등학교 인간 발달,김현하,포널스출판사,2023.02.05 (종이책 출간 2023.01.25),"14,400원",0,건강/의학
헬스는 쪼렙입니다만,수피,한문화,2023.01.25 (종이책 출간 2023.01.05),"9,450원",0,건강/의학
기능의학을 알면 건강이 보인다,김덕수,한솔의학서적,2022.09.06 (종이책 출간 2022.06.20),"22,500원",8.7,건강/의학
[30%▼]뇌내혁명+우뇌를 활용하는 뇌내혁명,하루야마 시게오,중앙생활사,2021.04.20,"13,545원",10,건강/의학
임상시험 실무자를 위한 영문리포트 쓰기,Ted Gu,도서출판 걸음마,2021.12.15,"8,910원",8.8,건강/의학
싱잉볼 힐링 (티벳 전통의 치유법),슈렌 쉬레스타,젠북,2013.07.20,"6,300원",10,건강/의학
당뇨코드,제이슨 펑,라이팅하우스,2020.02.12 (종이책 출간 2020.01.08),"12,150원",10,건강/의학
명품 피부를 망치는 42가지 진실,정혜신,위즈덤스타일,2013.07.01 (종이책 출간 2013.01.07),"8,820원",8.2,건강/의학
1일1식,나구모 요시노리,위즈덤하우스,2013.04.24 (종이책 출간 2012.09.10),"8,190원",8.9,건강/의학
소마틱스,토마스 한나,행복에너지,2012.07.13 (종이책 출간 2012.07.10),"9,945원",9.7,건강/의학
욕창 실무 지침,병원 상처 장루 실금 간호사회,포널스출판사,2015.08.03 (종이책 출간 2011.10.26),"9,900원",7.5,건강/의학
무엇을 먹을 것인가,콜린 캠벨,열린과학,2014.07.12 (종이책 출간 2012.08.10),"11,340원",9.6,건강/의학
술  사람이 선택한 술 술이 선택한 사람,보건복지가족부 선정 알코올질환 전문 다사랑병원,느낌이있는책,2014.03.12 (종이책 출간 2009.11.30),"6,480원",10,건강/의학
신광순 원장의 오십견 완치법,신광순,느낌이있는책,2007.08.15 (종이책 출간 2005.02.15),"4,500원",7,건강/의학
의사에게 살해당하지 않는 47가지 방법,곤도 마코토,더난출판사,2019.06.08 (종이책 출간 2013.12.02),"8,190원",9.5,건강/의학
유쾌한 남자 상쾌한 여자,배정원,가교,2006.04.19 (종이책 출간 2003.09.29),"4,860원",7.5,건강/의학
환자 혁명,조한경,에디터,2017.12.12 (종이책 출간 2017.11.11),"9,450원",9.3,건강/의학
양자의학 새로운 의학의 탄생,강길전,돋을새김,2014.04.04 (종이책 출간 2013.10.31),"18,900원",10,건강/의학
의식 혁명,데이비드 호킨스,판미동,2013.11.25 (종이책 출간 2011.09.02),"10,710원",9,건강/의학
필라테스 바이블,노수연,대한미디어,2015.09.21 (종이책 출간 2015.07.30),"15,750원",9,건강/의학
암 치유의 길,이병욱,한언,2022.06.01 (종이책 출간 2021.10.14),"8,010원",10,건강/의학
암으로 고통받는 사람들을 위한 독서치료,이운우,한국학술정보,2013.07.19 (종이책 출간 2009.01.28),"9,180원",0,건강/의학
우아한 섹스상담소,배정원,21세기북스,2012.10.10,"1,980원",9.5,건강/의학
과식하지 않는 삶,이시구로 세이지,머스트리드북,2022.04.14 (종이책 출간 2022.03.31),"9,135원",9.6,건강/의학
프셉마음: 감염관리실편,남소희,드림널스,2021.11.26 (종이책 출간 2020.06.15),"23,040원",0,건강/의학
프셉마음: 혈액종양내과 입문편,유미옥,드림널스,2020.04.03 (종이책 출간 2020.02.06),"20,880원",9.7,건강/의학
간호사 면접 공략집,김보준,드림널스,2022.07.14 (종이책 출간 2022.04.11),"15,840원",10,건강/의학
프셉마음: 정형외과편,박기옥,드림널스,2021.07.07 (종이책 출간 2021.06.08),"20,880원",9.3,건강/의학
프셉마음: 산부인과 편,정유정,드림널스,2021.07.07 (종이책 출간 2021.03.08),"20,880원",9,건강/의학
드림원탑: 기본간호학+건강사정,이혜리,드림널스,2021.03.09 (종이책 출간 2020.12.07),"12,960원",10,건강/의학
굿바이 류마티스,유창길,넥서스BOOKS,2019.04.26 (종이책 출간 2019.02.10),"9,180원",0,건강/의학
하타요가,이태영,여래,2020.04.17 (종이책 출간 2020.02.29),"6,300원",7.5,건강/의학
통증 때려잡는 스트레칭,최재석,센시오,2022.03.22 (종이책 출간 2022.02.08),"15,309원",9.8,건강/의학
암또의 임상노트 Volume. 2,암또,포널스출판사,2021.04.13 (종이책 출간 2021.04.12),"20,160원",9.9,건강/의학
적게 자도 괜찮습니다,쓰보다 사토루,길벗,2019.01.11 (종이책 출간 2019.01.15),"10,080원",8.9,건강/의학
야경증과 야제증은 영아산통이 아니에요!,황지모,북랩,2017.06.07 (종이책 출간 2017.05.12),"6,210원",10,건강/의학
"소금과 물, 우리 몸이 원한다",박의규,지식과감성,2016.06.15 (종이책 출간 2016.05.30),"12,150원",10,건강/의학
바른 자세 인간 : 왜 아픈지 모르는 당신에게,김진원,군자출판사,2022.09.15 (종이책 출간 2022.07.04),"10,800원",9.3,건강/의학
통장잔고 2배 늘려주는 병의원 절세비법,김국현,군자출판사,2021.05.22 (종이책 출간 2021.05.07),"14,400원",10,건강/의학
임상진료지침 5판,가톨릭대학교 의과대학 내과학교실,군자출판사,2019.07.12,"25,200원",10,건강/의학
알츠하이머의 종말,데일 브레드슨,토네이도,2018.06.01 (종이책 출간 2018.03.05),"14,400원",9.1,건강/의학
핏블리의 다이어트 식단 전략집,핏블리(문석기),비타북스,2022.06.29 (종이책 출간 2022.06.10),"10,710원",9,건강/의학
나의 첫 다이어트 근육 자세 홈트,도가와 아이,비타북스,2021.04.02 (종이책 출간 2021.03.25),"8,190원",9.3,건강/의학
닥터키친의 맛있는 당뇨 밥상,닥터키친 식이연구소,비타북스,2018.12.21 (종이책 출간 2018.06.01),"10,620원",9.4,건강/의학
콜라보 핵심간호술,모형중,포널스출판사,2020.07.10 (종이책 출간 2020.06.20),"12,600원",9.9,건강/의학
최고의 당뇨 밥상,마켓온오프,리스컴,2021.03.22 (종이책 출간 2020.11.02),"9,180원",9.6,건강/의학
초인생활 해설,조기형,지오출판사,2022.09.28,"13,500원",10,건강/의학
피톨로지 피트니스 영양학,이호욱,예문당,2021.09.23 (종이책 출간 2021.09.23),"9,900원",8.6,건강/의학
의사의 반란,신우섭,에디터,2015.01.09 (종이책 출간 2013.04.15),"8,400원",10,건강/의학
건강 불균형 바로잡기,닐 바너드,브론스테인,2021.04.14 (종이책 출간 2021.04.14),"12,420원",9.6,건강/의학
이게 다 호르몬 때문이야,마쓰무라 게이코,피카(FIKA),2022.10.14,"9,450원",0,건강/의학
치매의 거의 모든 기록,웬디 미첼,문예춘추사,2022.09.26 (종이책 출간 2022.10.01),"10,080원",10,건강/의학
디톡스Q,조종술,아이프렌드,2012.08.14 (종이책 출간 2011.12.10),"4,320원",7.5,건강/의학
응급처치 Bible,김복현,대경북스,2019.07.10 (종이책 출간 2015.03.05),"15,750원",5,건강/의학
너무 놀라운 작은 뇌세포 이야기,도나 잭슨 나카자와,브론스테인,2021.04.28 (종이책 출간 2021.04.28),"12,420원",10,건강/의학
게놈 오디세이,유안 A. 애슐리,브론스테인,2022.02.23 (종이책 출간 2022.02.23),"13,860원",10,건강/의학
오래도록 젊음을 유지하고 건강하게 죽는 법,스티븐 R. 건드리,브론스테인,2019.11.13 (종이책 출간 2019.11.13),"12,420원",9.6,건강/의학
바프일기,권헬린,헬린일기,2022.07.15 (종이책 출간 2022.05.30),"13,860원",10,건강/의학
최강의 해독법,마키타 젠지,코리아닷컴,2022.08.08 (종이책 출간 2021.10.15),"8,820원",9.3,건강/의학
건강과 치유의 비밀,안드레아스 모리츠,에디터,2020.11.11 (종이책 출간 2020.11.11),"20,520원",9.9,건강/의학
똑게육아,로리(김준희),북로스트,2022.05.16 (종이책 출간 2022.02.24),"14,940원",9.7,가정/생활/요리
우리 아이 기질 맞춤 양육 매뉴얼,정가은,서사원,2022.11.30 (종이책 출간 2023.01.05),"14,400원",9.7,가정/생활/요리
가슴높이로 공을 던져라 2,황보태조,올림,2019.01.08 (종이책 출간 2013.10.10),"8,100원",10,가정/생활/요리
일본 가정식 260,맛있는 일본 요리 연구 모임 (엮음),시그마북스,2016.11.03 (종이책 출간 2016.11.07),"11,340원",9.5,가정/생활/요리
사랑하지 않을 수 없는 달걀 요리,쓰레즈레 하나코,시그마북스,2023.02.10 (종이책 출간 2023.02.10),"9,450원",9.4,가정/생활/요리
세상에서 가장 쉬운 본질육아,지나영,21세기북스,2022.09.28 (종이책 출간 2022.09.28),"13,536원",9.8,가정/생활/요리
베이비 플랜,박문일,동아일보사,2014.08.01 (종이책 출간 2013.09.01),"9,900원",9.5,가정/생활/요리
"아, 육아란 원래 이런 거구나!",마이클렌 다우클레프,시프,2022.04.25 (종이책 출간 2022.04.25),"12,510원",9.6,가정/생활/요리
반죽부터 다시 시작하는 스콘,하영아,길벗,2021.10.14 (종이책 출간 2021.10.04),"10,710원",9.2,가정/생활/요리
균형육아,정우열,팬덤북스,2017.07.13 (종이책 출간 2017.07.28),"9,000원",9.5,가정/생활/요리
맛있는 게 좋아서 양조절 다이어트,한아름,길벗,2022.06.29 (종이책 출간 2022.06.22),"11,655원",9.5,가정/생활/요리
365일 반찬 걱정 없는 책,송혜영(욜로리아),길벗,2022.12.09,"19,440원",0,가정/생활/요리
0~5세 성장 발달에 맞추는 놀이 육아,김원철,마음책방,2022.12.15,"14,256원",0,가정/생활/요리
올드패션 베이킹북,이수정,책밥,2022.11.07 (종이책 출간 2022.10.05),"17,640원",9.5,가정/생활/요리
품격 있는 아내들의 남편 다루는 법,김민수,북스고,2022.10.17 (종이책 출간 2022.08.30),"10,710원",10,가정/생활/요리
비폭력대화,수라 하트,아시아코치센터,2013.10.10 (종이책 출간 2009.12.31),"8,100원",8.9,가정/생활/요리
맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우,빅피시,2022.05.18 (종이책 출간 2022.05.23),"11,844원",9.9,가정/생활/요리
이네의 교실,장인혜,넥서스BOOKS,2020.10.29 (종이책 출간 2020.10.05),"7,560원",9,가정/생활/요리
살레 베이킹,고스란,북스고,2021.01.04 (종이책 출간 2020.12.23),"15,120원",9.6,가정/생활/요리
세상에서 제일 좋은 아이중심 몬테소리,박명진,슬로래빗,2021.02.22 (종이책 출간 2021.01.25),"12,150원",10,가정/생활/요리
서울대 의대 엄마는 이렇게 공부시킵니다,김진선,카시오페아,2022.02.21 (종이책 출간 2022.02.28),"9,954원",9.4,가정/생활/요리
