aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,aladin_가격
  81    ,나는 질병없이 살기로 했다 : 독소를 청소하면 왜 병과 비만은 사라지는가,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2020-02-01,5.0,건강/취미,가정/생활,8000
  82    ,럭키 타로북 : 그랜드 마스터 레이철 폴락의 타로카드 완벽 가이드,"만물상 (그림), 구민희 (옮긴이) ", 재미주의 ,2018-01-01,4.0,건강/취미,가정/생활,10000
  83    ,맥두걸 박사의 자연식물식,"존 A. 맥두걸 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2018-10-01,4.5,건강/취미,가정/생활,8000
  84    ,죄수 운동법,"폴 웨이드 (지은이), 정미화 (옮긴이) ", 비타북스 ,2017-07-01,4.5,건강/취미,가정/생활,15400
  85    ,네 가지 질문 : 내 삶을 바꾸는 경이로운 힘,"스티븐 미첼, 바이런 케이티 (지은이), 김윤 (옮긴이) ", 침묵의향기 ,2020-02-01,5.0,건강/취미,가정/생활,10500
  86    ,신경 청소 혁명,"구도 치아키 (지은이), 김은혜 (옮긴이) ", 비타북스 ,2021-09-01,5.0,건강/취미,가정/생활,9800
  87    ,움직임의 힘,"켈리 맥고니걸 (지은이), 박미경 (옮긴이) ", 안드로메디안 ,2020-04-01,4.0,건강/취미,가정/생활,11700
  88    ,오늘의 키토식,"키토제닉 다이어트 카페 (지은이), 정명일 (감수) ", 길벗 ,2019-11-01,5.0,건강/취미,가정/생활,14000
  89    ,다이어트는 왜 우리를 살찌게 하는가,"샌드라 아모트 (지은이), 장혜인 (옮긴이) ", 포레스트북스 ,2021-06-01,4.5,건강/취미,가정/생활,10000
  90    ,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 ,2022-07-01,4.5,건강/취미,가정/생활,11900
  91    ,맛있는 게 좋아서 양조절 다이어트,한아름 (지은이) , 길벗 ,2022-06-01,4.5,건강/취미,가정/생활,12950
  92    ,새로 만든 내몸 사용 설명서,"마이클 로이젠, 메멧 오즈 (지은이), 유태우 (옮긴이) ", 김영사 ,2014-02-01,4.5,건강/취미,가정/생활,10080
  93    ,당신은 개를 키우면 안 된다,강형욱 (지은이) , 혜다 ,2020-01-01,5.0,건강/취미,가정/생활,13320
  94    ,이게 다 호르몬 때문이야,"마쓰무라 게이코 (지은이), 이은혜 (옮긴이) ", FIKALIFE(피카라이프) ,2022-10-01,5.0,건강/취미,가정/생활,10500
  95    ,"옛날 영화, 이 좋은 걸 이제 알았다니",듀나 (지은이) , 구픽 ,2022-05-01,4.5,건강/취미,가정/생활,9450
  96    ,벤 호건 골프의 기본,"벤 호건, 허버트 워런 윈드 (지은이), 앤서니 라비엘리 (그림) ", 한국경제신문 ,2022-03-01,4.5,건강/취미,가정/생활,16000
  97    ,일상을 담는 아이패드 드로잉,이이오 (지은이) , 한빛라이프 ,2022-03-01,5.0,건강/취미,가정/생활,12960
  98    ,스탠퍼드식 최고의 수면법,"니시노 세이지 (지은이), 조해선 (옮긴이) ", 북라이프 ,2017-10-01,5.0,건강/취미,가정/생활,9800
  99    ,의사에게 살해당하지 않는 47가지 방법,"곤도 마코토 (지은이), 이근아 (옮긴이) ", 더난출판사 ,2019-06-01,4.0,건강/취미,가정/생활,9100
  100    ,"말기 암 진단 10년, 건강하게 잘 살고 있습니다",주마니아 (지은이) , 에디터 ,2022-11-01,5.0,건강/취미,가정/생활,12600
  1    ,사이토 히토리의 1퍼센트 부자의법칙,"사이토 히토리 (지은이), 김진아 (옮긴이) ", 나비스쿨 ,2023-02-01,5.0,경제경영,경제/비즈니스,12000
  2    ,원씽,"게리 켈러, 제이 파파산 (지은이), 구세희 (옮긴이) ", 비즈니스북스 ,2013-08-01,4.0,경제경영,경제/비즈니스,10000
  3    ,역행자,자청 (지은이) , 웅진지식하우스 ,2022-05-01,4.0,경제경영,경제/비즈니스,11070
  4    ,챗GPT,반병현 (지은이) , 생능북스 ,2023-02-01,5.0,경제경영,경제/비즈니스,11000
  5    ,보도 섀퍼 부의 레버리지,"보도 섀퍼 (지은이), 한윤진 (옮긴이) ", 비즈니스북스 ,2023-02-01,5.0,경제경영,경제/비즈니스,11030
  6    ,마케팅 설계자,"러셀 브런슨 (지은이), 이경식 (옮긴이) ", 윌북 ,2022-12-01,5.0,경제경영,경제/비즈니스,17360
  7    ,금리의 역습,"에드워드 챈슬러 (지은이), 임상훈 (옮긴이) ", 위즈덤하우스 ,2023-02-01,5.0,경제경영,경제/비즈니스,20790
  8    ,주식투자 최적의 타이밍을 잡는 법,"스탠 와인스타인 (지은이), 우승택 (옮긴이) ", 플로우 ,2021-02-01,4.5,경제경영,경제/비즈니스,15400
  9    ,초거대 위협,"누리엘 루비니 (지은이), 박슬라 (옮긴이) ", 한국경제신문 ,2023-02-01,5.0,경제경영,경제/비즈니스,18000
  10    ,부자 아빠 가난한 아빠 20주년 특별 기념판 [부자 아빠 가난한 아빠 1 개정증보판],"로버트 기요사키 (지은이), 안진환 (옮긴이) ", 민음인 ,2018-04-01,4.0,경제경영,경제/비즈니스,11900
  11    ,부의 추월차선 (10주년 스페셜 에디션),"엠제이 드마코 (지은이), 신소영 (옮긴이) ", 토트 ,2022-02-01,4.0,경제경영,경제/비즈니스,12000
  12    ,AI 2041,"리카이푸, 천치우판 (지은이), 이현 (옮긴이) ", 한빛비즈 ,2023-01-01,5.0,경제경영,경제/비즈니스,20860
  13    ,주식투자 무작정 따라하기 (최신개정판),윤재수 (지은이) , 길벗 ,2023-02-01,4.5,경제경영,경제/비즈니스,18400
  14    ,Stick 스틱! (15주년 기념판),"칩 히스, 댄 히스 (지은이), 안진환 (옮긴이) ", 웅진지식하우스 ,2022-10-01,5.0,경제경영,경제/비즈니스,11340
  15    ,돈의 속성,김승호 (지은이) , 스노우폭스북스 ,2022-03-01,4.5,경제경영,경제/비즈니스,12460
  16    ,장단기 투자의 비밀,"래리 윌리엄스 (지은이), 이은주 (옮긴이) ", 이레미디어 ,2023-01-01,4.0,경제경영,경제/비즈니스,17500
  17    ,거인의 어깨 1,홍진채 (지은이) , 포레스트북스 ,2022-12-01,5.0,경제경영,경제/비즈니스,15260
  18    ,장사의 神 (200쇄 기념 블랙 에디션),"우노 다카시 (지은이), 김문정 (옮긴이) ", 쌤앤파커스 ,2023-01-01,0.0,경제경영,경제/비즈니스,12000
  19    ,K 배터리 레볼루션,박순혁 (지은이) , 지와인 ,2023-02-01,5.0,경제경영,경제/비즈니스,13300
  20    ,트렌드 코리아 2023,"김난도, 전미영, 최지혜 (지은이) ", 미래의창 ,2022-10-01,3.5,경제경영,경제/비즈니스,13300
  21    ,돈의 심리학,"모건 하우절, 이지연 (지은이) ", 인플루엔셜(주) ,2021-01-01,4.5,경제경영,경제/비즈니스,14800
  22    ,부자의 그릇,"이즈미 마사토 (지은이), 김윤수 (옮긴이) ", 다산북스 ,2020-12-01,4.5,경제경영,경제/비즈니스,10500
  23    ,"돈, 뜨겁게 사랑하고 차갑게 다루어라","앙드레 코스톨라니 (지은이), 한윤진 (옮긴이) ", 미래의창 ,2022-04-01,4.5,경제경영,경제/비즈니스,9600
  24    ,전설로 떠나는 월가의 영웅,"피터 린치, 존 로스차일드 (지은이), 이건 (옮긴이) ", 국일증권경제연구소 ,2021-08-01,5.0,경제경영,경제/비즈니스,18200
  25    ,"뇌, 욕망의 비밀을 풀다","한스-게오르크 호이젤 (지은이), 한윤진, 강영옥, 김신종 (옮긴이) ", 비즈니스북스 ,2019-09-01,4.5,경제경영,경제/비즈니스,12600
  26    ,아파트 투자는 사이클이다,이현철 (지은이) , 여의도책방 ,2022-11-01,4.0,경제경영,경제/비즈니스,14000
  27    ,스토리만이 살길,"리사 크론 (지은이), 홍한결 (옮긴이) ", 부키 ,2022-06-01,4.5,경제경영,경제/비즈니스,12500
  28    ,경제파국으로 치닫는 금융위기,최용식 (지은이) , 새빛 ,2022-12-01,4.0,경제경영,경제/비즈니스,14000
  29    ,사업의 철학,"마이클 E. 거버 (지은이), 이제용 (옮긴이) ", 라이팅하우스 ,2015-09-01,4.5,경제경영,경제/비즈니스,10080
  30    ,"개장 전, 아직 켜지지 않은 모니터 앞에서",강민우(돈깡) (지은이) , 이레미디어 ,2021-12-01,4.5,경제경영,경제/비즈니스,11200
  31    ,솔직히 회계 1도 모르겠습니다,"고야마 아키히로 (지은이), 김지낭 (옮긴이) ", 포레스트북스 ,2022-07-01,5.0,경제경영,경제/비즈니스,12600
  32    ,거인의 어깨 2,홍진채 (지은이) , 포레스트북스 ,2022-12-01,5.0,경제경영,경제/비즈니스,14560
  33    ,AI 혁명의 미래,"정인성, 최홍섭 (지은이) ", 이레미디어 ,2023-01-01,4.5,경제경영,경제/비즈니스,12600
  34    ,주린이도 술술 읽는 친절한 주식책,"최정희, 이슬기 (지은이) ", 메이트북스 ,2020-09-01,4.5,경제경영,경제/비즈니스,9000
  35    ,가진 돈은 몽땅 써라,"호리에 다카후미 (지은이), 윤지나 (옮긴이) ", 쌤앤파커스 ,2022-06-01,4.0,경제경영,경제/비즈니스,9800
  36    ,나는 장사의 신이다,은현장 (지은이) , 떠오름 ,2021-12-01,5.0,경제경영,경제/비즈니스,11760
  37    ,무조건 팔리는 카피,"글렌 피셔 (지은이), 박지혜 (옮긴이) ", 동양북스(동양문고) ,2023-01-01,5.0,경제경영,경제/비즈니스,13000
  38    ,내 통장 구제하기 프로젝트,이삭 (지은이) , 알에이치코리아(RHK) ,2023-01-01,5.0,경제경영,경제/비즈니스,11760
  39    ,언스크립티드  : 부의 추월차선 완결판,"엠제이 드마코 (지은이), 안시열 (옮긴이) ", 토트 ,2018-01-01,4.5,경제경영,경제/비즈니스,12000
  40    ,EBS 다큐프라임 자본주의,EBS 자본주의 제작팀 (지은이) , 가나출판사 ,2015-05-01,4.5,경제경영,경제/비즈니스,11900
  41    ,유난한 도전,정경화 (지은이) , 북스톤 ,2022-11-01,5.0,경제경영,경제/비즈니스,13000
  42    ,일의 격,신수정 (지은이) , 턴어라운드 ,2022-01-01,5.0,경제경영,경제/비즈니스,12600
  43    ,내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션),"칼 필레머 (지은이), 박여진 (옮긴이) ", 토네이도 ,2022-08-01,5.0,경제경영,경제/비즈니스,13600
  44    ,군중의 망상,"윌리엄 번스타인 (지은이), 노윤기 (옮긴이) ", 포레스트북스 ,2023-01-01,5.0,경제경영,경제/비즈니스,29400
  45    ,부의 본능 (개정증보판),우석(브라운스톤) (지은이) , 토트 ,2022-06-01,5.0,경제경영,경제/비즈니스,11900
  46    ,아이디어가 팔리는 순간,"탬슨 웹스터 (지은이), 박세연 (옮긴이) ", 현대지성 ,2023-01-01,5.0,경제경영,경제/비즈니스,11000
  47    ,MBC 14층 사람들은 이렇게 기획합니다,"손재일, 전기영 (지은이) ", 21세기북스 ,2023-01-01,5.0,경제경영,경제/비즈니스,17600
  48    ,생각에 관한 생각,"대니얼 카너먼 (지은이), 이창신 (옮긴이) ", 김영사 ,2018-04-01,4.5,경제경영,경제/비즈니스,15750
  49    ,나의 월급 독립 프로젝트 (리마스터 에디션),유목민 (지은이) , 리더스북 ,2022-11-01,5.0,경제경영,경제/비즈니스,13300
  50    ,변화하는 세계 질서,"레이 달리오 (지은이), 송이루, 조용빈 (옮긴이) ", 한빛비즈 ,2022-06-01,4.5,경제경영,경제/비즈니스,30400
  51    ,영화를 빨리 감기로 보는 사람들,"이나다 도요시 (지은이), 황미숙 (옮긴이) ", 현대지성 ,2022-11-01,5.0,경제경영,경제/비즈니스,11000
  52    ,백만장자 시크릿,"하브 에커 (지은이), 나선숙 (옮긴이) ", 알에이치코리아(RHK) ,2020-08-01,4.5,경제경영,경제/비즈니스,11200
  53    ,엑시트 EXIT,송희창(송사무장) (지은이) , 지혜로 ,2020-11-01,5.0,경제경영,경제/비즈니스,12000
  54    ,나의 투자는 새벽 4시에 시작된다,유목민 (지은이) , 리더스북 ,2022-04-01,4.0,경제경영,경제/비즈니스,13900
  55    ,무기가 되는 스토리 : 브랜드 전쟁에서 살아남는 7가지 문장 공식,"도널드 밀러 (지은이), 이지연 (옮긴이) ", 윌북 ,2018-09-01,4.5,경제경영,경제/비즈니스,10360
  56    ,우리는 어디서 살아야 하는가,김시덕 (지은이) , 포레스트북스 ,2022-07-01,4.5,경제경영,경제/비즈니스,12500
  57    ,부동산을 공부할 결심,배문성 (지은이) , 어바웃어북 ,2022-11-01,5.0,경제경영,경제/비즈니스,17500
  58    ,찰리 멍거 바이블,"이건, 김재현 (지은이) ", 에프엔미디어 ,2022-12-01,4.5,경제경영,경제/비즈니스,17000
  59    ,주식 공부 5일 완성,박민수(샌드 타이거 샤크) (지은이) , 비즈니스북스 ,2021-01-01,5.0,경제경영,경제/비즈니스,12600
  60    ,나는 돈이 없어도 사업을 한다,"프레이저 도허티 (지은이), 박홍경 (옮긴이), 명승은 (감수) ", 비즈니스북스 ,2017-10-01,4.5,경제경영,경제/비즈니스,10500
  61    ,머니 트렌드 2023,"김경민, 김도윤, 부동산읽어주는남자(정태익) (지은이) ", 북모먼트 ,2022-12-01,5.0,경제경영,경제/비즈니스,13300
  62    ,마케팅이다,"세스 고딘 (지은이), 김태훈 (옮긴이) ", 쌤앤파커스 ,2019-09-01,4.5,경제경영,경제/비즈니스,12600
  63    ,일론 머스크: 미래의 설계자,"애슐리 반스 (지은이), 안기순 (옮긴이) ", 김영사 ,2015-05-01,4.5,경제경영,경제/비즈니스,11250
  64    ,창발의 시대,"패트릭 와이먼 (지은이), 장영재 (옮긴이) ", 로크미디어 ,2022-11-01,0.0,경제경영,경제/비즈니스,13700
  65    ,브랜드로 남는다는 것,홍성태 (지은이) , 북스톤 ,2022-11-01,0.0,경제경영,경제/비즈니스,18000
  66    ,오케팅: 실전 마케팅 & 퍼스널브랜딩,오두환 (지은이) , 대한출판사 ,2021-07-01,5.0,경제경영,경제/비즈니스,9900
  67    ,피터 린치의 투자 이야기,"피터 린치, 존 로스차일드 (지은이), 고영태 (옮긴이) ", 흐름출판 ,2021-12-01,5.0,경제경영,경제/비즈니스,15200
  68    ,경제 뉴스가 그렇게 어렵습니까?,이상민 (지은이) , 빨간소금 ,2023-01-01,4.0,경제경영,경제/비즈니스,10080
  69    ,배터리 전쟁,"루카스 베드나르스키 (지은이), 안혜림 (옮긴이) ", 위즈덤하우스 ,2023-01-01,4.0,경제경영,경제/비즈니스,14000
  70    ,하마터면 또 회계를 모르고 일할 뻔했다!,"김수헌, 이재홍 (지은이) ", 어바웃어북 ,2022-12-01,4.5,경제경영,경제/비즈니스,14000
  71    ,나는 경매로 1년 만에 인생을 역전했다,구범준 (지은이) , 길벗 ,2023-02-01,5.0,경제경영,경제/비즈니스,16000
  72    ,2023 상장기업 업종 지도(25개 업종 종목 지도 부록 포함),박찬일 (지은이) , 에프엔미디어 ,2023-02-01,5.0,경제경영,경제/비즈니스,10800
  73    ,5천만 원으로 시작하는 미라클 기적의 재개발 재건축,진와이스(장미진) (지은이) , 리더스북 ,2023-02-01,5.0,경제경영,경제/비즈니스,12600
  74    ,브랜드로부터 배웁니다,김도영 (지은이) , 위즈덤하우스 ,2023-02-01,5.0,경제경영,경제/비즈니스,11340
  75    ,넛지 : 파이널 에디션,"리처드 H. 탈러, 캐스 R. 선스타인 (지은이), 이경식 (옮긴이) ", 리더스북 ,2022-06-01,4.5,경제경영,경제/비즈니스,15500
  76    ,서울 자가에 대기업 다니는 김 부장 이야기 3 : 송 과장 편,송희구 (지은이) , 서삼독 ,2021-11-01,4.5,경제경영,경제/비즈니스,12000
  77    ,현명한 투자자 1,"벤저민 그레이엄 (지은이), 이건 (옮긴이), 신진오 (감수) ", 국일증권경제연구소 ,2020-07-01,4.5,경제경영,경제/비즈니스,16100
  78    ,제로 투 원,"피터 틸, 블레이크 매스터스 (지은이), 이지연 (옮긴이) ", 한국경제신문 ,2021-10-01,5.0,경제경영,경제/비즈니스,12800
  79    ,부자 아빠 가난한 아빠 2,"로버트 기요사키, 샤론 레흐트 (지은이), 형선호 (옮긴이) ", 민음인 ,2012-12-01,4.0,경제경영,경제/비즈니스,10500
  80    ,월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판),너나위 (지은이) , 알에이치코리아(RHK) ,2022-07-01,4.5,경제경영,경제/비즈니스,13860
  81    ,차트의 기술,김정환 (지은이) , 이레미디어 ,2017-01-01,4.0,경제경영,경제/비즈니스,15400
  82    ,나는 대출 없이 0원으로 소형 아파트를 산다,잭파시(최경천) (지은이) , 다산북스 ,2022-04-01,5.0,경제경영,경제/비즈니스,14000
  83    ,퀀트투자 무작정 따라하기,강환국 (지은이) , 길벗 ,2022-10-01,4.5,경제경영,경제/비즈니스,20000
  84    ,따라 하면 무조건 돈 버는 실전 부동산 경매,"유근용, 정민우 (지은이) ", 비즈니스북스 ,2022-03-01,5.0,경제경영,경제/비즈니스,15400
  85    ,행운에 속지 마라,"나심 니콜라스 탈레브 (지은이), 이건 (옮긴이), 신진오 (감수) ", 중앙books(중앙북스) ,2019-11-01,4.0,경제경영,경제/비즈니스,12600
  86    ,피터 린치의 이기는 투자,"피터 린치, 존 로스차일드 (지은이), 권성희 (옮긴이) ", 흐름출판 ,2021-12-01,5.0,경제경영,경제/비즈니스,20000
  87    ,네이버 블로그로 돈 벌기,김동석 (지은이) , 한빛미디어 ,2021-10-01,4.5,경제경영,경제/비즈니스,11520
