제목,저자,출판사,출간일,별점,장르
"돈, 뜨겁게 사랑하고 차갑게 다루어라","앙드레 코스톨라니 (지은이), 한윤진 (옮긴이) ", 미래의창 , 2022년 4월,4.5,경제/비즈니스
가진 돈은 몽땅 써라,"호리에 다카후미 (지은이), 윤지나 (옮긴이) ", 쌤앤파커스 , 2022년 6월,4.0,경제/비즈니스
트렌드 코리아 2023,"김난도, 전미영, 최지혜 (지은이) ", 미래의창 , 2022년 10월,4.0,경제/비즈니스
전설로 떠나는 월가의 영웅,"피터 린치, 존 로스차일드 (지은이), 이건 (옮긴이) ", 국일증권경제연구소 , 2021년 8월,5.0,경제/비즈니스
"뇌, 욕망의 비밀을 풀다","한스-게오르크 호이젤 (지은이), 한윤진, 강영옥, 김신종 (옮긴이) ", 비즈니스북스 , 2019년 9월,4.5,경제/비즈니스
부의 추월차선 (10주년 스페셜 에디션),"엠제이 드마코 (지은이), 신소영 (옮긴이) ", 토트 , 2022년 2월,4.0,경제/비즈니스
브라질에 비가 내리면 스타벅스 주식을 사라,"피터 나바로 (지은이), 이창식 (옮긴이), 윤지호 (감수) ", 에프엔미디어 , 2022년 5월,4.0,경제/비즈니스
아파트 투자는 사이클이다,이현철 (지은이) , 여의도책방 , 2022년 11월,4.0,경제/비즈니스
금리의 역습,"에드워드 챈슬러 (지은이), 임상훈 (옮긴이) ", 위즈덤하우스 , 2023년 2월,5.0,경제/비즈니스
유난한 도전,정경화 (지은이) , 북스톤 , 2022년 11월,5.0,경제/비즈니스
언스크립티드  : 부의 추월차선 완결판,"엠제이 드마코 (지은이), 안시열 (옮긴이) ", 토트 , 2018년 1월,4.5,경제/비즈니스
거인의 어깨 1,홍진채 (지은이) , 포레스트북스 , 2022년 12월,5.0,경제/비즈니스
내 통장 구제하기 프로젝트,이삭 (지은이) , 알에이치코리아(RHK) , 2023년 1월,5.0,경제/비즈니스
장사의 神 (200쇄 기념 블랙 에디션),"우노 다카시 (지은이), 김문정 (옮긴이) ", 쌤앤파커스 , 2023년 1월,0.0,경제/비즈니스
초거대 위협,"누리엘 루비니 (지은이), 박슬라 (옮긴이) ", 한국경제신문 , 2023년 2월,5.0,경제/비즈니스
슈퍼 팩트,"팀 하포드 (지은이), 김태훈 (옮긴이) ", 세종(세종서적) , 2023년 2월,5.0,경제/비즈니스
부자의 그릇,"이즈미 마사토 (지은이), 김윤수 (옮긴이) ", 다산북스 , 2020년 12월,4.5,경제/비즈니스
돈의 속성,김승호 (지은이) , 스노우폭스북스 , 2022년 3월,4.5,경제/비즈니스
나는 장사의 신이다,은현장 (지은이) , 떠오름 , 2021년 12월,5.0,경제/비즈니스
군중의 망상,"윌리엄 번스타인 (지은이), 노윤기 (옮긴이) ", 포레스트북스 , 2023년 1월,5.0,경제/비즈니스
솔직히 회계 1도 모르겠습니다,"고야마 아키히로 (지은이), 김지낭 (옮긴이) ", 포레스트북스 , 2022년 7월,5.0,경제/비즈니스
챗GPT,반병현 (지은이) , 생능북스 , 2023년 2월,4.5,경제/비즈니스
브랜드로부터 배웁니다,김도영 (지은이) , 위즈덤하우스 , 2023년 2월,5.0,경제/비즈니스
일의 격,신수정 (지은이) , 턴어라운드 , 2022년 1월,5.0,경제/비즈니스
거인의 어깨 2,홍진채 (지은이) , 포레스트북스 , 2022년 12월,5.0,경제/비즈니스
경제파국으로 치닫는 금융위기,최용식 (지은이) , 새빛 , 2022년 12월,4.0,경제/비즈니스
스토리만이 살길,"리사 크론 (지은이), 홍한결 (옮긴이) ", 부키 , 2022년 6월,4.5,경제/비즈니스
"개장 전, 아직 켜지지 않은 모니터 앞에서",강민우(돈깡) (지은이) , 이레미디어 , 2021년 12월,4.5,경제/비즈니스
2023 대한민국 산업지도,이래학 (지은이) , 경이로움 , 2023년 1월,4.5,경제/비즈니스
반도체 삼국지,권석준 (지은이) , 뿌리와이파리 , 2023년 2월,4.0,경제/비즈니스
나의 월급 독립 프로젝트 (리마스터 에디션),유목민 (지은이) , 리더스북 , 2022년 11월,5.0,경제/비즈니스
생각에 관한 생각,"대니얼 카너먼 (지은이), 이창신 (옮긴이) ", 김영사 , 2018년 4월,4.5,경제/비즈니스
기브 앤 테이크,"애덤 그랜트 (지은이), 윤태준 (옮긴이) ", 생각연구소 , 2013년 12월,4.5,경제/비즈니스
영화를 빨리 감기로 보는 사람들,"이나다 도요시 (지은이), 황미숙 (옮긴이) ", 현대지성 , 2022년 11월,5.0,경제/비즈니스
현명한 투자자 1,"벤저민 그레이엄 (지은이), 이건 (옮긴이), 신진오 (감수) ", 국일증권경제연구소 , 2020년 7월,4.5,경제/비즈니스
제로 투 원,"피터 틸, 블레이크 매스터스 (지은이), 이지연 (옮긴이) ", 한국경제신문 , 2021년 10월,5.0,경제/비즈니스
무기가 되는 스토리 : 브랜드 전쟁에서 살아남는 7가지 문장 공식,"도널드 밀러 (지은이), 이지연 (옮긴이) ", 윌북 , 2018년 9월,4.5,경제/비즈니스
무조건 팔리는 카피,"글렌 피셔 (지은이), 박지혜 (옮긴이) ", 동양북스(동양문고) , 2023년 1월,5.0,경제/비즈니스
배터리 전쟁,"루카스 베드나르스키 (지은이), 안혜림 (옮긴이) ", 위즈덤하우스 , 2023년 1월,4.0,경제/비즈니스
경제 상식사전,김민구 (지은이) , 길벗 , 2022년 1월,5.0,경제/비즈니스
기후위기 부의 대전환,홍종호 (지은이) , 다산북스 , 2023년 1월,4.5,경제/비즈니스
MBC 14층 사람들은 이렇게 기획합니다,"손재일, 전기영 (지은이) ", 21세기북스 , 2023년 1월,5.0,경제/비즈니스
백만장자 시크릿,"하브 에커 (지은이), 나선숙 (옮긴이) ", 알에이치코리아(RHK) , 2020년 8월,4.5,경제/비즈니스
엑시트 EXIT,송희창(송사무장) (지은이) , 지혜로 , 2020년 11월,5.0,경제/비즈니스
주식 공부 5일 완성,박민수(샌드 타이거 샤크) (지은이) , 비즈니스북스 , 2021년 1월,5.0,경제/비즈니스
나는 돈이 없어도 사업을 한다,"프레이저 도허티 (지은이), 박홍경 (옮긴이), 명승은 (감수) ", 비즈니스북스 , 2017년 10월,4.5,경제/비즈니스
머니 트렌드 2023,"김경민, 김도윤, 부동산읽어주는남자(정태익) (지은이) ", 북모먼트 , 2022년 12월,5.0,경제/비즈니스
피터 린치의 투자 이야기,"피터 린치, 존 로스차일드 (지은이), 고영태 (옮긴이) ", 흐름출판 , 2021년 12월,5.0,경제/비즈니스
경제 뉴스가 그렇게 어렵습니까?,이상민 (지은이) , 빨간소금 , 2023년 1월,4.0,경제/비즈니스
AI 혁명의 미래,"정인성, 최홍섭 (지은이) ", 이레미디어 , 2023년 1월,4.5,경제/비즈니스
엘리어트 파동이론 마스터,"글렌 닐리 (지은이), 정인지 (그림) ", 원앤원북스 , 2023년 2월,4.0,경제/비즈니스
세금의 흑역사,"조엘 슬렘로드, 마이클 킨 (지은이), 홍석윤 (옮긴이) ", 세종(세종서적) , 2023년 1월,5.0,경제/비즈니스
실리콘밸리의 실험실,"스테판 H. 톰키 (지은이), 안진환 (옮긴이) ", 한국경제신문 , 2023년 2월,4.5,경제/비즈니스
넛지 : 파이널 에디션,"리처드 H. 탈러, 캐스 R. 선스타인 (지은이), 이경식 (옮긴이) ", 리더스북 , 2022년 6월,4.5,경제/비즈니스
월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판),너나위 (지은이) , 알에이치코리아(RHK) , 2022년 7월,4.5,경제/비즈니스
찰리 멍거 바이블,"이건, 김재현 (지은이) ", 에프엔미디어 , 2022년 12월,4.5,경제/비즈니스
부동산을 공부할 결심,배문성 (지은이) , 어바웃어북 , 2022년 11월,5.0,경제/비즈니스
퀀트투자 무작정 따라하기,강환국 (지은이) , 길벗 , 2022년 10월,4.5,경제/비즈니스
실전투자의 비밀,김형준 (지은이) , 이레미디어 , 2021년 6월,4.5,경제/비즈니스
인스파이어드,"마티 케이건 (지은이), 황진수 (옮긴이) ", 제이펍 , 2020년 1월,4.0,경제/비즈니스
김경필의 오늘은 짠테크 내일은 플렉스,김경필 (지은이) , 김영사 , 2022년 7월,5.0,경제/비즈니스
창발의 시대,"패트릭 와이먼 (지은이), 장영재 (옮긴이) ", 로크미디어 , 2022년 11월,0.0,경제/비즈니스
브랜드로 남는다는 것,홍성태 (지은이) , 북스톤 , 2022년 11월,0.0,경제/비즈니스
워런 버핏의 주주 서한,"워런 버핏 (지은이), 로렌스 커닝험 (엮은이), 이건 (옮긴이) ", 에프엔미디어 , 2022년 8월,5.0,경제/비즈니스
사업의 철학,"마이클 E. 거버 (지은이), 이제용 (옮긴이) ", 라이팅하우스 , 2015년 9월,4.5,경제/비즈니스
노마드 투자자 서한,"닉 슬립 (지은이), 생각의여름(김태진), generalfox(변영진) (옮긴이) ", 더퀘스트 , 2022년 12월,5.0,경제/비즈니스
피터 린치의 이기는 투자,"피터 린치, 존 로스차일드 (지은이), 권성희 (옮긴이) ", 흐름출판 , 2021년 12월,5.0,경제/비즈니스
주택청약의 모든 것,한국부동산원 (지은이) , 한빛비즈 , 2022년 11월,5.0,경제/비즈니스
주식 차트 단타 매매,e북스토리지 (지은이) , 유페이퍼 , 2021년 11월,5.0,경제/비즈니스
네이버 블로그로 돈 벌기,김동석 (지은이) , 한빛미디어 , 2021년 10월,4.5,경제/비즈니스
"두려움 없는 조직 : 심리적 안정감은 어떻게 조직의 학습, 혁신, 성장을 일으키는가","에이미 에드먼슨 (지은이), 최윤영 (옮긴이) ", 다산북스 , 2019년 10월,4.5,경제/비즈니스
서울 부동산 절대원칙,김학렬(빠숑) (지은이) , 길벗 , 2023년 1월,5.0,경제/비즈니스
노르웨이처럼 투자하라,"클레멘스 봄스도르프 (지은이), 김세나 (옮긴이) ", 미래의창 , 2019년 1월,4.5,경제/비즈니스
주식 단타로 매일매일 벌어봤어?,양선호 (지은이) , 넥서스 , 2022년 4월,4.0,경제/비즈니스
하마터면 또 회계를 모르고 일할 뻔했다!,"김수헌, 이재홍 (지은이) ", 어바웃어북 , 2022년 12월,4.5,경제/비즈니스
좋은 기업을 넘어 위대한 기업으로 (20주년 뉴에디션),"짐 콜린스 (지은이), 이무열 (옮긴이) ", 김영사 , 2022년 12월,3.5,경제/비즈니스
인간 본성 불패의 법칙,"데이비드 숀설, 로런 노드그런 (지은이), 이지연 (옮긴이) ", 다산북스 , 2022년 10월,4.5,경제/비즈니스
1페이지 마케팅 플랜,"앨런 딥 (지은이), 홍석윤 (옮긴이) ", 알파미디어 , 2023년 1월,5.0,경제/비즈니스
정부지원사업 합격 사업계획서 쓰는 법,이혁재 (지은이) , 한국학술정보 , 2019년 1월,4.5,경제/비즈니스
퍼포먼스 마케팅 첫걸음 : 취업부터 실무까지,이다혜 (지은이) , 비제이퍼블릭 , 2023년 2월,0.0,경제/비즈니스
"존 리, 새로운 10년의 시작",존 리 (지은이) , 김영사 , 2023년 2월,5.0,경제/비즈니스
서울 자가에 대기업 다니는 김 부장 이야기 2 : 정 대리.권 사원 편,송희구 (지은이) , 서삼독 , 2021년 9월,4.5,경제/비즈니스
소수몽키의 한 권으로 끝내는 미국주식,소수몽키(홍승초) (지은이) , 길벗 , 2021년 4월,4.5,경제/비즈니스
EBS 다큐프라임 자본주의,EBS 자본주의 제작팀 (지은이) , 가나출판사 , 2015년 5월,4.5,경제/비즈니스
내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션),"칼 필레머 (지은이), 박여진 (옮긴이) ", 토네이도 , 2022년 8월,5.0,경제/비즈니스
아이디어 불패의 법칙,"알베르토 사보이아 (지은이), 이지연 (옮긴이) ", 인플루엔셜(주) , 2020년 6월,5.0,경제/비즈니스
대출의 마법,레오(김은진) (지은이) , 다산북스 , 2022년 8월,5.0,경제/비즈니스
마케팅이다,"세스 고딘 (지은이), 김태훈 (옮긴이) ", 쌤앤파커스 , 2019년 9월,4.5,경제/비즈니스
데미안 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2012년 10월,4.5,문학
싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이) ", 민음사 , 2014년 1월,4.5,문학
이방인 (한글판),"알베르 카뮈 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 8월,4.0,문학
사랑의 기술 (개정판),"에리히 프롬 (지은이), 황문수 (옮긴이) ", 문예출판사 , 2019년 9월,4.0,문학
어린 왕자 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 4월,5.0,문학
노인과 바다 (한글+영문판),"어니스트 헤밍웨이 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,5.0,문학
종의 기원,"찰스 로버트 다윈 (지은이), 장대익 (옮긴이), 최재천 (감수), 다윈 포럼 (기획) ", 사이언스북스 , 2023년 2월,4.5,문학
멋진 신세계,"올더스 헉슬리 (지은이), 안정효 (옮긴이) ", 소담출판사 , 2018년 6월,4.5,문학
1984 (한글+영문),"조지 오웰 (지은이), 정영수 (옮긴이) ", 더클래식 , 2013년 5월,5.0,문학
데미안 (한글+영문),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 1월,4.5,문학
달과 6펜스,"서머싯 몸 (지은이), 송무 (옮긴이) ", 민음사 , 2013년 3월,4.5,문학
키다리 아저씨 (한글판 + 영문판),"진 웹스터 (지은이), 허윤정 (옮긴이) ", 더클래식 , 2015년 9월,4.5,문학
폭풍의 언덕 (한글판 + 영문판),"에밀리 브론테 (지은이), 김명신 (옮긴이) ", 더클래식 , 2014년 11월,4.5,문학
1984,"조지 오웰 (지은이), 정회성 (옮긴이) ", 민음사 , 2012년 7월,4.5,문학
오만과 편견 (한글판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,4.0,문학
노인과 바다 (한글),"어니스트 헤밍웨이 (지은이), 이수정 (옮긴이) ", 더클래식 , 2012년 11월,4.0,문학
차라투스트라는 이렇게 말했다,"프리드리히 니체 (지은이), 장희창 (옮긴이) ", 민음사 , 2012년 10월,4.0,문학
아리스토텔레스 시학 (그리스어 원전 완역본),"아리스토텔레스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2021년 3월,5.0,문학
젊은 베르터의 슬픔,"요한 볼프강 폰 괴테 (지은이), 김해생 (옮긴이), 이동현, 김미소, 원종준 (낭독) ", 별글 , 2020년 2월,5.0,문학
오만과 편견 (한글+영문판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,3.5,문학
이방인,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2020년 12월,4.5,문학
데미안: 오리지널 초판본,"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설) ", 코너스톤 , 2017년 2월,5.0,문학
군주론,"니콜로 마키아벨리 (지은이), 이시연 (옮긴이) ", 더클래식 , 2018년 11월,4.5,문학
사람은 무엇으로 사는가 (한글+영문),"레프 니콜라예비치 톨스토이 (지은이), 장영재 (옮긴이) ", 더클래식 , 2012년 7월,4.0,문학
명상록 : 철학자 황제가 전쟁터에서 자신에게 쓴 일기,"마르쿠스 아우렐리우스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2018년 4월,4.5,문학
동물농장,"조지 오웰 (지은이), 신동운 (옮긴이) ", 스타북스 , 2020년 4월,4.5,문학
페스트 (한글판+영문),"알베르 카뮈 (지은이), 변광배 (옮긴이) ", 미르북컴퍼니 , 2014년 6월,4.5,문학
픽션들,"호르헤 루이스 보르헤스 (지은이), 송병선 (옮긴이) ", 민음사 , 2018년 11월,4.5,문학
죄와 벌 (상),"표도르 도스토옙스키 (지은이), 홍대화 (옮긴이) ", 열린책들 , 2011년 5월,5.0,문학
신곡 인페르노(지옥) : 한글판,"단테 알리기에리 (지은이), 이시연 (옮긴이) ", 더클래식 , 2013년 8월,0.0,문학
논어 - 손 안의 고전,황종원 (지은이) , 서책 , 2013년 1월,4.5,문학
비밀의 화원,"프랜시스 호지슨 버넷 (지은이), 박혜원 (옮긴이) ", 더클래식 , 2022년 5월,0.0,문학
어린 왕자 (한글판),"앙투안 드 생텍쥐페리 (지은이), 김미정 (옮긴이) ", 더클래식 , 2012년 6월,4.5,문학
그리스인 조르바 (한글판),"니코스 카잔자키스 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 6월,4.0,문학
동물 농장,"조지 오웰 (지은이), 도정일 (옮긴이) ", 민음사 , 2012년 7월,4.5,문학
두 도시 이야기 (한글+영문판),"찰스 디킨스 (지은이), 신윤진, 이수진 (옮긴이) ", 더클래식 , 2013년 6월,5.0,문학
햄릿 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 6월,5.0,문학
소크라테스의 변명·크리톤·파이돈·향연 (그리스어 원전 완역본) : 플라톤의 대화편,"플라톤 (지은이), 박문재 (옮긴이) ", 현대지성 , 2019년 12월,5.0,문학
